,reviewer name,n_frd,n_reviews
0,Viola C., 8 friends, 14 reviews
1,Jenny R., 0 friends, 5 reviews
2,William J., 90 friends, 53 reviews
3,Christopher B., 0 friends, 3 reviews
4,Melissa J., 2 friends, 4 reviews
5,Ryan M., 0 friends, 2 reviews
6,Vince E., 63 friends, 7 reviews
7,Kevin T., 0 friends, 17 reviews
8,Emily S., 0 friends, 5 reviews
9,Caitlin B., 65 friends, 39 reviews
10,Candace H., 0 friends, 1 review
11,Sierra W., 0 friends, 1 review
12,Dadly K., 5 friends, 1 review
13,Viola C., 8 friends, 14 reviews
14,Jenny R., 0 friends, 5 reviews
15,William J., 90 friends, 53 reviews
16,Christopher B., 0 friends, 3 reviews
17,Melissa J., 2 friends, 4 reviews
18,Ryan M., 0 friends, 2 reviews
19,Vince E., 63 friends, 7 reviews
20,Kevin T., 0 friends, 17 reviews
21,Emily S., 0 friends, 5 reviews
22,Caitlin B., 65 friends, 39 reviews
23,Candace H., 0 friends, 1 review
24,Sierra W., 0 friends, 1 review
25,Dadly K., 5 friends, 1 review
26,Viola C., 8 friends, 14 reviews
27,Jenny R., 0 friends, 5 reviews
28,William J., 90 friends, 53 reviews
29,Christopher B., 0 friends, 3 reviews
30,Melissa J., 2 friends, 4 reviews
31,Ryan M., 0 friends, 2 reviews
32,Vince E., 63 friends, 7 reviews
33,Kevin T., 0 friends, 17 reviews
34,Emily S., 0 friends, 5 reviews
35,Caitlin B., 65 friends, 39 reviews
36,Candace H., 0 friends, 1 review
37,Sierra W., 0 friends, 1 review
38,Dadly K., 5 friends, 1 review
39,Craig T., 25 friends, 5 reviews
40,Celine P., 0 friends, 1 review
41,Tiffany C., 0 friends, 2 reviews
42,Jan E., 1 friend, 2 reviews
43,Lucy J., 0 friends, 1 review
44,Marty W., 0 friends, 1 review
45,Gina T., 0 friends, 10 reviews
46,Gina T., 0 friends, 5 reviews
47,Katie D., 1 friend, 10 reviews
48,Gerard M., 0 friends, 1 review
49,Emma L., 0 friends, 5 reviews
50,Axa I., 5 friends, 1 review
51,A R., 0 friends, 13 reviews
52,Mari H., 71 friends, 67 reviews
53,Tim D., 0 friends, 6 reviews
54,Brion D., 13 friends, 7 reviews
55,Irene F., 0 friends, 2 reviews
56,Kay B., 0 friends, 8 reviews
57,Daniil S., 0 friends, 2 reviews
58,Forrest D., 0 friends, 12 reviews
59,Kimberly T., 55 friends, 1 review
60,Yun B., 0 friends, 4 reviews
61,Nathanerin L., 1 friend, 25 reviews
62,Helen C., 11 friends, 4 reviews
63,W K., 0 friends, 3 reviews
64,Elizabeth G., 9 friends, 8 reviews
65,Mina F., 0 friends, 1 review
66,kathleen d., 0 friends, 2 reviews
67,Tracey W., 0 friends, 1 review
68,mirch m., 0 friends, 3 reviews
69,Nicole R., 0 friends, 3 reviews
70,Bob K., 0 friends, 2 reviews
71,Glen W., 0 friends, 6 reviews
72,Romitan M., 0 friends, 1 review
73,Spencer J., 0 friends, 2 reviews
74,Gene S., 32 friends, 9 reviews
75,Rose K., 0 friends, 1 review
76,Beth T., 0 friends, 5 reviews
77,Andrea G., 0 friends, 7 reviews
78,Richard T., 0 friends, 2 reviews
79,JJ W., 0 friends, 1 review
80,Very D., 0 friends, 1 review
81,Jen J., 0 friends, 1 review
82,Nikki C., 0 friends, 14 reviews
83,Janice L., 0 friends, 4 reviews
84,Weldon R., 0 friends, 2 reviews
85,Nicloe T., 4 friends, 8 reviews
86,Huian M., 238 friends, 14 reviews
87,Mattieu G., 0 friends, 12 reviews
88,Lance B., 16 friends, 17 reviews
89,Mohammed H., 0 friends, 1 review
90,Kevin J., 0 friends, 1 review
91,Dee W., 0 friends, 2 reviews
92,Robert H., 0 friends, 1 review
93,Jaime N., 0 friends, 3 reviews
94,Ashley J., 0 friends, 1 review
95,Jia Z., 0 friends, 7 reviews
96,Troy W., 0 friends, 5 reviews
97,Seth C., 0 friends, 2 reviews
98,Agent W., 1 friend, 20 reviews
99,Alexander R., 0 friends, 5 reviews
100,Henry W., 0 friends, 1 review
101,Peder L., 0 friends, 2 reviews
102,Dexter C., 4 friends, 2 reviews
103,M E., 0 friends, 3 reviews
104,John S., 0 friends, 6 reviews
105,J D., 2 friends, 19 reviews
106,anna w., 0 friends, 1 review
107,Charlotte P., 5 friends, 2 reviews
108,me d., 0 friends, 2 reviews
109,Joseph L., 0 friends, 13 reviews
110,Dane S., 26 friends, 5 reviews
111,Isabella H., 0 friends, 3 reviews
112,Miko L., 0 friends, 12 reviews
113,Mike T., 0 friends, 3 reviews
114,Samantha T., 15 friends, 32 reviews
115,Randy O., 0 friends, 28 reviews
116,Barbara M., 13 friends, 7 reviews
117,Jason S., 0 friends, 1 review
118,Nelly K., 0 friends, 3 reviews
119,Emmett L., 123 friends, 4 reviews
120,Laura T., 4 friends, 6 reviews
121,ena b., 0 friends, 2 reviews
122,Joe P., 0 friends, 1 review
123,Jill C., 0 friends, 1 review
124,Pedro D., 107 friends, 90 reviews
125,Truth O., 0 friends, 13 reviews
126,M C., 0 friends, 1 review
127,Taeko L., 0 friends, 1 review
128,Soumil A., 0 friends, 85 reviews
129,Sigrid E., 0 friends, 1 review
130,David B., 0 friends, 1 review
131,M S., 0 friends, 1 review
132,Estelle K., 0 friends, 3 reviews
133,Jim W., 0 friends, 1 review
134,Kyle S., 1 friend, 1 review
135,Verenice N., 0 friends, 1 review
136,Jamie N., 0 friends, 1 review
137,M G., 0 friends, 6 reviews
