,restaurant name
0,/j%C5%AB-ni-san-francisco-5
1,/the-fine-mousse-san-francisco
2,/starboard-sf-san-francisco
3,/brasserie-saint-james-san-francisco-2
4,/matador-san-francisco-2
5,/gold-dust-lounge-san-francisco-3
6,/hogwash-san-francisco
7,/the-house-san-francisco
8,/the-spice-jar-san-francisco
9,/marlowe-san-francisco-2
10,/the-codmother-fish-and-chips-san-francisco
11,/chez-maman-san-francisco-9
12,/the-chairman-san-francisco-2
13,/so-san-francisco-4
14,/fog-harbor-fish-house-san-francisco-2
15,/rove-kitchen-san-francisco
16,/state-bird-provisions-san-francisco
17,/gary-danko-san-francisco
18,/causwells-san-francisco-5
19,/la-fusi%C3%B3n-san-francisco-2
20,/lol%C3%B3-san-francisco-4
21,/nopa-san-francisco
22,/ikes-place-san-francisco
23,/the-italian-homemade-company-san-francisco-4
24,/hopwater-distribution-san-francisco
25,/lord-george-san-francisco
26,/brew-bros-cafe-san-francisco-2
27,/birba-san-francisco
28,/mensho-tokyo-san-francisco-2
29,/hrd-san-francisco-2
30,/stones-throw-san-francisco-2?search_key=87727
31,/kitchen-story-san-francisco?search_key=87727
32,/ijji-sushi-san-francisco?search_key=87727
33,/garaje-san-francisco?search_key=87727
34,/the-italian-homemade-company-san-francisco-6?search_key=87727
35,/red-hill-station-san-francisco?search_key=87727
36,/firefly-restaurant-san-francisco-4?search_key=87727
37,/old-skool-cafe-san-francisco?search_key=87727
38,/fat-angel-san-francisco?search_key=87727
39,/frances-san-francisco?search_key=87727
40,/20-spot-san-francisco
41,/bacon-bacon-san-francisco-5
42,/the-flying-falafel-san-francisco-3
43,/zazie-san-francisco
44,/street-taco-san-francisco
45,/paprika-san-francisco
46,/pianofight-san-francisco
47,/rustys-southern-san-francisco
48,/bite-san-francisco
49,/beretta-san-francisco
