,reviewer name,reviewer href,n_frd,n_review
0,/user_details?userid=nO_5OkDDWYHe_GE6iYQa1w,Sandy L., 227 friends, 138 reviews
1,/user_details?userid=D633VZiKg3CkQk7IbH2-ZQ,Lana T., 250 friends, 214 reviews
2,/user_details?userid=ibvH1Y7Rh_tstiWgH0OFTA,Veronica S., 257 friends, 1245 reviews
3,/user_details?userid=KCUFGSlK6lX7ZSlwTbtVZQ,Aaron Y., 1054 friends, 400 reviews
4,/user_details?userid=aJwh6Mcw-q7Xio1CJxJmBg,Kate M., 401 friends, 161 reviews
5,/user_details?userid=Nza9TrumxVALFOc3zpPxDg,Tiffany U., 1526 friends, 482 reviews
6,/user_details?userid=eZNhFI6m07dvu1zfLfJc-g,Nancy N., 254 friends, 274 reviews
7,/user_details?userid=hJXL5mZtHm4gPPSSoMNXBg,Kelly L., 147 friends, 37 reviews
8,/user_details?userid=eKUGKQRE-Ywi5dY55_zChg,Cherylynn N., 4578 friends, 1627 reviews
9,/user_details?userid=3eTizQ3IU-PihPGJpx6BuA,Karen L., 185 friends, 192 reviews
10,/user_details?userid=G5LXEaxhQMF_BVjNHkVr7g,Nish N., 4191 friends, 1866 reviews
11,/user_details?userid=tze6RS2sX8jWhhCnhF8eTg,Riana L., 136 friends, 41 reviews
12,/user_details?userid=-oPzEHyieaDwAq70uwBO9A,Patricia Y., 108 friends, 28 reviews
13,/user_details?userid=-g3XIcCb2b-BD0QBCcq2Sw,Lisa I., 581 friends, 706 reviews
14,/user_details?userid=hxLhRB5-y57i95UZ1-nCKA,JT H., 53 friends, 9 reviews
15,/user_details?userid=sksKvmBmvTFWeb_vhB55NA,Kell M., 8 friends, 80 reviews
16,/user_details?userid=FXzOzl57UaX9ntfPAPLpRQ,Joanne L., 10 friends, 43 reviews
17,/user_details?userid=74VHvVXTnA04koYiaHFsrw,Alex F., 19 friends, 8 reviews
18,/user_details?userid=ZbSFeW-0eYsrroF5ENk_CA,Mattin N., 353 friends, 68 reviews
19,/user_details?userid=italI7wzLOR7ubuHxUyd-w,eric c., 0 friends, 108 reviews
20,/user_details?userid=Gej92zYbIl-SrHHhoZhUbQ,Morgan M., 44 friends, 27 reviews
21,/user_details?userid=NKXnr_WaRWhK0cv_f9499A,Jenny B., 252 friends, 96 reviews
22,/user_details?userid=8whvEyG29s9TPFKtPGcLcQ,Elizabeth K., 0 friends, 3 reviews
23,/user_details?userid=lUUsFmM8_QcM5m8oujzCAg,Jo R., 3 friends, 34 reviews
24,/user_details?userid=Z88N6qly3Dp5C06XbZ9IMQ,Janice C., 450 friends, 1878 reviews
25,/user_details?userid=cIcpSStytd12C2TImsQbTw,Jenna G., 41 friends, 21 reviews
26,/user_details?userid=ibvH1Y7Rh_tstiWgH0OFTA,Veronica S., 257 friends, 1245 reviews
27,/user_details?userid=O3slQM5zE77Ga6qrxfpKoQ,Faith Y., 297 friends, 302 reviews
28,/user_details?userid=0XHnik9Qpj68dYCp76fR3g,Victoria T., 72 friends, 66 reviews
29,/user_details?userid=AqwTAjoyG5HfhQi2-ab4cw,Alice W., 373 friends, 511 reviews
30,/user_details?userid=4ABOACN6e0SyOYN6oSsUZA,Hetal P., 330 friends, 140 reviews
31,/user_details?userid=F0AAhDFX1D0OmjHsaNk1-A,Linda X., 301 friends, 160 reviews
32,/user_details?userid=Sg_BvnTHsbc1AABiJjaiPA,Vivian H., 579 friends, 1224 reviews
33,/user_details?userid=djxnI8Ux8ZYQJhiOQkrRhA,Abby S., 3430 friends, 1687 reviews
34,/user_details?userid=s6UW_QHaKd4cOKPy-CrX8Q,Erik W., 51 friends, 7 reviews
35,/user_details?userid=ccfVsl7SZeK-2Ixc2-anuQ,Brianna S., 50 friends, 385 reviews
36,/user_details?userid=8kgQupO4TS2bpCGSPhTTIg,Michelle L., 739 friends, 626 reviews
37,/user_details?userid=gQXGf0Fg_z2kmefN4war_g,Judith S., 1 friend, 25 reviews
